                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                0.58702,                0.63992,                  1.123,                0.75641,                0.77113,                0.79953,                0.62038,                0.97744,                0.99559,                 1.5839,             6.3578e-05,             6.3578e-05,             6.3578e-05
                     98,                0.57989,                0.63731,                  1.127,                0.77091,                0.76091,                0.79644,                0.61771,                 0.9839,                0.98629,                 1.6002,             6.1152e-05,             6.1152e-05,             6.1152e-05
                     99,                0.59363,                0.65273,                 1.1301,                0.76871,                0.77158,                0.80347,                0.62065,                0.98685,                0.99919,                 1.6008,             5.8726e-05,             5.8726e-05,             5.8726e-05
                    100,                0.58668,                0.64036,                 1.1182,                 0.7591,                 0.7768,                0.79691,                0.61406,                0.98576,                  1.013,                  1.606,             5.6301e-05,             5.6301e-05,             5.6301e-05
                    101,                0.56674,                0.63084,                 1.1159,                0.78907,                0.71962,                0.79756,                0.61757,                0.99282,                  1.004,                 1.6013,             5.3876e-05,             5.3876e-05,             5.3876e-05
                    102,                0.59151,                0.64015,                 1.1233,                 0.7609,                0.76217,                0.78782,                0.61282,                  0.982,                 1.0142,                  1.596,              5.145e-05,              5.145e-05,              5.145e-05
                    103,                 0.5724,                0.62348,                 1.1155,                0.77794,                0.75554,                 0.7956,                0.61687,                0.98872,                   1.01,                 1.5976,             4.9024e-05,             4.9024e-05,             4.9024e-05
                    104,                0.56984,                0.63624,                 1.1104,                0.75667,                0.78749,                0.80061,                0.61964,                0.99546,                 1.0158,                  1.624,             4.6599e-05,             4.6599e-05,             4.6599e-05
                    105,                0.57288,                0.63632,                  1.123,                0.76816,                 0.7752,                0.81178,                0.62763,                0.99566,                0.97203,                 1.6165,             4.4174e-05,             4.4174e-05,             4.4174e-05
                    106,                0.56203,                0.60392,                 1.1067,                0.73006,                0.80471,                0.80388,                0.62051,                0.98782,                0.97422,                 1.6075,             4.1748e-05,             4.1748e-05,             4.1748e-05
                    107,                0.55695,                0.60992,                 1.1013,                0.74018,                0.78462,                0.78712,                0.61048,                0.98813,                0.98197,                 1.6139,             3.9323e-05,             3.9323e-05,             3.9323e-05
                    108,                0.56222,                0.60446,                  1.106,                 0.7746,                0.75465,                0.79602,                0.61801,                0.99245,                0.97474,                 1.6166,             3.6897e-05,             3.6897e-05,             3.6897e-05
                    109,                0.56347,                0.61264,                 1.1134,                0.80415,                0.71517,                0.80496,                0.62166,                0.99481,                0.99166,                 1.6099,             3.4471e-05,             3.4471e-05,             3.4471e-05
                    110,                0.56371,                0.61951,                 1.1121,                0.79956,                0.73434,                0.80297,                0.62562,                  0.983,                0.97653,                 1.5958,             3.2046e-05,             3.2046e-05,             3.2046e-05
                    111,                0.49501,                0.59886,                 1.1273,                0.74956,                0.74392,                0.79249,                0.60607,                 1.0006,                  1.031,                 1.6354,             2.9621e-05,             2.9621e-05,             2.9621e-05
                    112,                0.48806,                0.54269,                 1.1143,                0.69055,                0.80282,                 0.7899,                0.60651,                0.99489,                 1.0086,                 1.6347,             2.7195e-05,             2.7195e-05,             2.7195e-05
                    113,                0.46441,                0.53291,                 1.1101,                0.70185,                0.81185,                0.79112,                0.60936,                0.98704,                 1.0072,                 1.6277,             2.4769e-05,             2.4769e-05,             2.4769e-05
                    114,                0.47029,                0.51826,                  1.102,                0.76665,                0.75179,                0.79979,                 0.6137,                0.98919,                0.99699,                 1.6344,             2.2344e-05,             2.2344e-05,             2.2344e-05
                    115,                0.46803,                0.52187,                 1.1046,                 0.7466,                0.78228,                0.79398,                0.61281,                0.98989,                0.98682,                 1.6345,             1.9919e-05,             1.9919e-05,             1.9919e-05
                    116,                0.45316,                0.50735,                  1.096,                0.73319,                0.79718,                0.79426,                0.61536,                0.98559,                0.97931,                 1.6285,             1.7493e-05,             1.7493e-05,             1.7493e-05
                    117,                 0.4576,                0.51224,                 1.0939,                0.72165,                0.80643,                 0.7935,                0.61538,                0.98723,                0.98765,                 1.6336,             1.5067e-05,             1.5067e-05,             1.5067e-05
                    118,                0.46954,                0.52499,                 1.1048,                0.74399,                0.79168,                0.80452,                0.61875,                0.99373,                0.98148,                  1.646,             1.2642e-05,             1.2642e-05,             1.2642e-05
                    119,                0.45748,                0.49356,                  1.103,                 0.7753,                0.75493,                0.79495,                0.61627,                0.98538,                0.97556,                 1.6297,             1.0217e-05,             1.0217e-05,             1.0217e-05
                    120,                0.44496,                0.48679,                 1.0873,                0.72761,                0.79341,                0.78847,                0.61283,                0.98713,                 0.9794,                 1.6361,              7.791e-06,              7.791e-06,              7.791e-06
